optimizer,size_gen,rep,seed,stop_generation,best_fitness,best_accuracy,mean_accuracy,mse_chance,mse_utility
umda,30,0,42,11,0.0,75.0,58.166666666666664,0.824515396254317,6.297225095531612
umda,30,1,43,22,0.0,80.0,55.0,0.8111127498144111,7.536338208179989
umda,30,2,44,12,0.0,75.0,58.5,0.70237684623283,8.566237135296847
umda,30,3,45,7,0.0,85.0,60.333333333333336,0.5917619215505404,3.9544757954363012
umda,30,4,46,12,0.0,85.0,58.666666666666664,0.6688636870797042,7.195722070365992
umda,30,5,47,10,0.0,85.0,63.833333333333336,0.8593724286612568,15.573051057753137
umda,30,6,48,12,0.0,85.0,63.5,0.5098744002780662,9.469654706876334
umda,30,7,49,13,0.0,95.0,69.5,0.7441641738332273,3.6057479877955285
umda,30,8,50,8,0.0,85.0,61.5,0.5635016686144516,4.941489793338222
umda,30,9,51,10,0.0,85.0,61.666666666666664,0.5961655069245001,2.995380009583417
umda,50,0,42,11,0.0,85.0,57.6,0.8611013108082328,5.639810367800383
umda,50,1,43,16,0.0,95.0,64.3,0.8523902118996309,4.323901256075908
umda,50,2,44,11,0.0,90.0,57.1,0.5934429454479018,10.828973823424096
umda,50,3,45,11,0.0,75.0,53.2,0.5267872891260504,5.519312725194794
umda,50,4,46,14,0.0,85.0,61.2,0.7999329060787053,5.0747844436463305
umda,50,5,47,12,0.0,85.0,69.0,0.7313438491606071,9.77284220771836
umda,50,6,48,15,0.0,95.0,66.3,0.6894762543452144,3.3982152939901025
umda,50,7,49,13,0.0,95.0,60.0,1.0252042452873782,3.457385554760995
umda,50,8,50,12,0.0,90.0,60.9,0.4908912289346793,3.381955037907543
umda,50,9,51,10,0.0,95.0,63.5,0.6318055350738837,2.5681216533589897
umda,100,0,42,11,0.0,95.0,58.05,0.7063897080945122,6.494996257557102
umda,100,1,43,12,0.0,85.0,57.75,0.6685736917800895,3.527264467561078
umda,100,2,44,12,0.0,85.0,60.65,0.4420606470971926,4.777645744840033
umda,100,3,45,12,0.0,75.0,54.0,0.33596683908225883,4.7144371012788095
umda,100,4,46,14,0.0,100.0,65.55,0.4673518542621337,7.296577843084017
umda,100,5,47,13,0.0,95.0,67.35,0.6622326336066909,3.652432585781755
umda,100,6,48,12,0.0,85.0,61.2,0.5662913384055662,4.366956764303306
umda,100,7,49,8,0.0,85.0,56.7,0.6383453940595423,3.474519394785991
umda,100,8,50,11,0.0,95.0,60.4,0.7351637559281791,3.0538653462545944
umda,100,9,51,9,0.0,85.0,59.7,0.5671603402650648,5.320233100217113
umda,200,0,42,10,0.0,100.0,61.825,0.6233751849220661,4.31804789648394
umda,200,1,43,12,0.0,95.0,59.3,0.49839295844340625,2.300501840261948
umda,200,2,44,13,0.0,85.0,58.825,0.46829097872882774,4.026393337938281
umda,200,3,45,12,0.0,90.0,57.1,0.5197865478823116,3.6789003810060326
umda,200,4,46,13,0.0,90.0,62.075,0.559273198978348,4.053624624007033
umda,200,5,47,12,0.0,95.0,67.075,0.6520995422723465,5.385967273559176
umda,200,6,48,15,0.0,95.0,60.5,0.4992473301196543,3.4470771516373735
umda,200,7,49,10,0.0,100.0,58.175,0.5905489817927362,3.7174503500199734
umda,200,8,50,10,0.0,95.0,60.625,0.6163841764021281,3.8498143290650435
umda,200,9,51,12,0.0,85.0,58.325,0.5375418897588293,4.556467442138541
emna,30,0,42,17,0.0,85.0,63.0,0.7231699250615051,5.906476971788815
