fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility
binary,top10,1,5,1,0.512000,51.45,1.508490,18.626932
binary,top10,2,10,1,0.990000,51.45,1.508490,18.626932
binary,top10,4,20,1,1.988000,51.45,1.508490,18.626932
binary,top10,4,20,2,1.856000,51.87,1.537783,18.217876
binary,top10,4,20,3,1.800000,52.44,1.522962,18.276942
binary,top10,8,40,1,3.920000,51.45,1.508490,18.626932
binary,top10,8,40,2,3.698000,52.05,1.535490,17.967414
binary,top10,8,40,3,3.366000,54.15,1.528851,18.568686
binary,top10,8,40,4,3.174000,54.49,1.529668,18.250892
binary,top10,8,40,5,2.950000,57.11,1.549370,18.655175
binary,top10,8,40,6,2.666000,58.03,1.556483,19.019159
binary,top10,8,40,7,2.558000,59.14,1.537478,18.143795
binary,top10,8,40,8,2.482000,59.91,1.546912,18.719404
binary,top10,8,40,9,2.414000,60.11,1.555100,18.652383
binary,top10,12,60,1,5.874000,51.45,1.508490,18.626932
binary,top10,12,60,2,5.512000,53.37,1.551459,18.008642
binary,top10,12,60,3,5.306000,54.05,1.528189,18.388027
binary,top10,12,60,4,4.890000,56.87,1.543745,18.466723
binary,top10,12,60,5,4.442000,59.68,1.591641,17.896541
binary,top10,12,60,6,3.976000,62.34,1.593197,18.078518
binary,top10,12,60,7,3.516000,64.67,1.576338,17.826053
binary,top10,12,60,8,3.130000,66.48,1.558094,17.132666
binary,top10,12,60,9,2.990000,67.25,1.561640,17.175112
binary,top10,12,60,10,2.654000,69.29,1.576763,17.196071
binary,top10,12,60,11,2.540000,69.29,1.621642,17.855503
binary,top10,12,60,12,2.346000,70.95,1.651703,17.802843
binary,top10,12,60,13,2.258000,71.71,1.654256,18.122155
binary,top10,12,60,14,2.282000,71.26,1.654800,18.158477
binary,top10,12,60,15,2.266000,71.41,1.694837,18.243801
binary,top10,12,60,16,2.166000,71.61,1.686357,18.128499
binary,top10,12,60,17,2.118000,71.91,1.702679,18.101756
binary,top10,12,60,18,2.132000,71.94,1.711902,18.214548
binary,top10,12,60,19,2.068000,72.40,1.703273,18.329604
binary,top10,12,60,20,2.054000,72.41,1.714898,18.306844
binary,top10,12,60,21,2.054000,72.65,1.718491,18.350838
binary,top10,12,60,22,2.034000,72.71,1.741332,18.361350
binary,top10,12,60,23,2.072000,72.57,1.732653,18.230810
binary,top10,12,60,24,2.056000,72.63,1.741505,18.154652
binary,top10,12,60,25,2.070000,72.52,1.759386,18.137371
binary,top30,1,5,1,0.512000,51.45,1.508490,18.626932
binary,top30,2,10,1,0.990000,51.45,1.508490,18.626932
binary,top30,2,10,2,0.914000,49.96,1.544610,18.058605
binary,top30,2,10,3,0.864000,50.59,1.587605,18.095511
binary,top30,2,10,4,0.830000,49.89,1.587373,17.961178
binary,top30,4,20,1,1.988000,51.45,1.508490,18.626932
binary,top30,4,20,2,1.832000,51.16,1.550284,17.857543
binary,top30,4,20,3,1.668000,52.13,1.596454,18.115273
binary,top30,4,20,4,1.450000,54.06,1.584515,18.361389
binary,top30,4,20,5,1.372000,54.28,1.593879,17.848083
binary,top30,4,20,6,1.210000,56.40,1.630438,17.760562
binary,top30,4,20,7,1.138000,56.71,1.628975,17.563208
binary,top30,4,20,8,1.128000,56.97,1.630600,17.521985
binary,top30,4,20,9,1.092000,57.09,1.633095,17.518869
binary,top30,4,20,10,1.092000,57.16,1.662425,17.735256
binary,top30,4,20,11,1.082000,56.86,1.669886,17.960825
binary,top30,8,40,1,3.920000,51.45,1.508490,18.626932
binary,top30,8,40,2,3.752000,51.59,1.577953,18.570235
binary,top30,8,40,3,3.376000,54.82,1.601572,18.248821
binary,top30,8,40,4,3.148000,56.22,1.639987,17.860168
binary,top30,8,40,5,2.868000,56.81,1.686095,18.621846
binary,top30,8,40,6,2.742000,58.09,1.720079,19.004567
binary,top30,8,40,7,2.470000,60.05,1.727335,19.138381
binary,top30,8,40,8,2.112000,62.39,1.782425,19.732689
binary,top30,8,40,9,1.816000,64.53,1.796304,19.883371
binary,top30,8,40,10,1.666000,65.18,1.807488,19.779552
binary,top30,8,40,11,1.594000,66.14,1.802348,19.487650
binary,top30,8,40,12,1.314000,68.33,1.829916,19.385079
binary,top30,8,40,13,1.262000,67.99,1.844353,19.411874
binary,top30,8,40,14,1.250000,67.98,1.849165,19.327514
binary,top30,12,60,1,5.874000,51.45,1.508490,18.626932
binary,top30,12,60,2,5.570000,52.01,1.531016,18.335367
binary,top30,12,60,3,5.238000,54.41,1.530934,18.552634
binary,top30,12,60,4,4.876000,56.55,1.562354,18.196214
binary,top30,12,60,5,4.464000,59.66,1.523701,18.797142
binary,top30,12,60,6,3.904000,63.51,1.542755,19.201660
binary,top30,12,60,7,3.752000,63.88,1.554513,19.438746
binary,top30,12,60,8,3.358000,66.10,1.575884,20.017572
binary,top30,12,60,9,3.050000,67.55,1.572525,20.100781
binary,top30,12,60,10,2.566000,71.37,1.551768,20.035686
binary,top30,12,60,11,2.144000,73.89,1.578457,20.190119
binary,top30,12,60,12,1.756000,76.19,1.623522,20.719841
binary,top30,12,60,13,1.622000,77.46,1.629834,21.005885
binary,top30,12,60,14,1.542000,78.18,1.613690,21.154001
