fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility
binary,top10,1,5,1,0.512000,51.45,1.508490,18.626932
binary,top10,2,10,1,0.990000,51.45,1.508490,18.626932
binary,top10,4,20,1,1.988000,51.45,1.508490,18.626932
binary,top10,4,20,2,1.848000,51.01,1.392694,16.262698
binary,top10,8,40,1,3.920000,51.45,1.508490,18.626932
binary,top10,8,40,2,3.738000,51.87,1.384925,15.162199
binary,top10,8,40,3,3.324000,54.75,1.338251,14.796795
binary,top10,8,40,4,2.922000,56.85,1.285149,14.914165
binary,top10,8,40,5,2.498000,60.23,1.284483,14.440814
binary,top10,8,40,6,2.154000,63.18,1.232052,14.435471
binary,top10,8,40,7,2.012000,64.36,1.234340,14.327461
binary,top10,12,60,1,5.874000,51.45,1.508490,18.626932
binary,top10,12,60,2,5.636000,52.55,1.354606,15.532480
binary,top10,12,60,3,5.010000,55.97,1.269509,14.919050
binary,top10,12,60,4,4.732000,58.48,1.276045,14.291612
binary,top10,12,60,5,3.938000,62.70,1.275351,13.165667
binary,top10,12,60,6,3.490000,64.98,1.283846,13.866426
binary,top10,12,60,7,3.238000,66.73,1.311862,13.973362
binary,top10,12,60,8,2.994000,67.30,1.324766,13.706597
binary,top10,12,60,9,2.834000,68.37,1.280898,14.417691
binary,top10,12,60,10,2.640000,69.87,1.336015,14.363552
binary,top10,12,60,11,2.416000,71.00,1.315690,14.271095
binary,top10,12,60,12,2.280000,71.75,1.347798,14.388185
binary,top10,12,60,13,2.248000,71.86,1.326616,14.168124
binary,top10,12,60,14,2.232000,71.99,1.313720,14.133261
binary,top10,12,60,15,2.246000,71.75,1.311754,14.272460
binary,top10,12,60,16,2.236000,72.09,1.315678,14.214760
binary,top10,12,60,17,2.214000,72.17,1.312981,14.252707
binary,top10,12,60,18,2.194000,72.19,1.303198,14.137380
binary,top10,12,60,19,2.208000,72.15,1.303630,14.078566
binary,top10,12,60,20,2.206000,72.16,1.301701,14.064509
binary,top10,12,60,21,2.206000,72.24,1.294594,13.955726
binary,top10,12,60,22,2.234000,72.38,1.296433,13.782584
binary,top10,12,60,23,2.216000,71.99,1.303021,14.265487
binary,top10,12,60,24,2.192000,72.22,1.311904,14.265251
binary,top10,12,60,25,2.204000,72.25,1.316635,14.313598
binary,top10,12,60,26,2.224000,72.04,1.321882,14.357976
binary,top30,1,5,1,0.512000,51.45,1.508490,18.626932
binary,top30,2,10,1,0.990000,51.45,1.508490,18.626932
binary,top30,2,10,2,0.866000,51.49,1.438991,16.579696
binary,top30,2,10,3,0.840000,52.02,1.415843,16.357217
binary,top30,4,20,1,1.988000,51.45,1.508490,18.626932
binary,top30,4,20,2,1.754000,51.61,1.353015,15.259511
binary,top30,4,20,3,1.476000,52.69,1.286273,13.944090
binary,top30,4,20,4,1.186000,54.77,1.287894,13.287627
binary,top30,4,20,5,0.996000,56.23,1.267551,12.617644
binary,top30,4,20,6,0.968000,56.31,1.278390,12.358633
binary,top30,4,20,7,0.914000,56.21,1.285651,12.273928
binary,top30,8,40,1,3.920000,51.45,1.508490,18.626932
binary,top30,8,40,2,3.738000,51.87,1.384925,15.162199
binary,top30,8,40,3,3.324000,54.75,1.338251,14.796795
binary,top30,8,40,4,2.922000,56.85,1.285149,14.914165
binary,top30,8,40,5,2.498000,60.23,1.284483,14.440814
binary,top30,8,40,6,2.036000,63.37,1.222156,14.436759
binary,top30,8,40,7,1.626000,67.11,1.203384,14.187222
binary,top30,8,40,8,1.304000,69.52,1.182044,14.356545
binary,top30,8,40,9,1.156000,70.34,1.175573,14.653999
binary,top30,8,40,10,1.040000,71.12,1.187571,14.415125
binary,top30,8,40,11,1.028000,71.02,1.180803,14.383148
binary,top30,12,60,1,5.874000,51.45,1.508490,18.626932
binary,top30,12,60,2,5.636000,52.55,1.354606,15.532480
binary,top30,12,60,3,5.010000,55.97,1.269509,14.919050
binary,top30,12,60,4,4.732000,58.48,1.276045,14.291612
binary,top30,12,60,5,3.938000,62.70,1.275351,13.165667
binary,top30,12,60,6,3.490000,64.98,1.283846,13.866426
binary,top30,12,60,7,3.210000,66.96,1.322422,13.890084
binary,top30,12,60,8,2.968000,67.48,1.334109,13.301715
binary,top30,12,60,9,2.666000,69.68,1.312349,13.694756
binary,top30,12,60,10,2.360000,71.64,1.370680,13.958307
binary,top30,12,60,11,2.000000,73.92,1.329106,13.819039
binary,top30,12,60,12,1.722000,75.43,1.370999,13.684651
binary,top30,12,60,13,1.480000,76.79,1.346433,13.276692
binary,top30,12,60,14,1.344000,78.02,1.346766,13.293778
binary,top30,12,60,15,1.384000,77.45,1.341256,13.154416
binary,top30,12,60,16,1.308000,78.41,1.354393,13.231225
binary,top30,12,60,17,1.198000,78.87,1.356141,13.116234
binary,top30,12,60,18,1.130000,79.42,1.341050,13.237314
binary,top30,12,60,19,1.098000,79.68,1.343610,13.269011
binary,top30,12,60,20,1.110000,79.48,1.337816,13.418614
binary,top30,12,60,21,1.088000,79.93,1.328900,13.404950
binary,top30,12,60,22,1.086000,80.27,1.321593,13.122017
binary,top30,12,60,23,1.068000,79.88,1.328181,13.604920
binary,top30,12,60,24,1.044000,80.11,1.337065,13.604684
