mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
both,non_symmetric,1.0,1.0,binary,top50,1,5,1,0.507000,50.01,1.507400,18.993726,11.568111,37.116684
both,non_symmetric,1.0,1.0,binary,top50,1,5,2,0.396000,50.40,1.570618,19.269111,10.030020,37.359739
both,non_symmetric,1.0,1.0,binary,top50,2,10,1,0.999000,50.01,1.507400,18.993726,11.568111,37.116684
both,non_symmetric,1.0,1.0,binary,top50,2,10,2,0.765000,51.85,1.625048,19.215099,8.950992,37.334120
both,non_symmetric,1.0,1.0,binary,top50,2,10,3,0.671500,52.28,1.710516,19.838817,7.125678,37.839872
both,non_symmetric,1.0,1.0,binary,top50,2,10,4,0.617000,53.60,1.773822,20.590799,5.717533,38.700941
both,non_symmetric,1.0,1.0,binary,top50,2,10,5,0.578500,54.55,1.797180,20.719597,5.194743,38.863773
both,non_symmetric,1.0,1.0,binary,top50,2,10,6,0.559500,55.88,1.808662,20.842682,4.993865,39.009474
both,non_symmetric,1.0,1.0,binary,top50,4,20,1,2.006500,50.01,1.507400,18.993726,11.568111,37.116684
both,non_symmetric,1.0,1.0,binary,top50,4,20,2,1.725000,51.54,1.642361,19.456770,8.883855,37.359313
both,non_symmetric,1.0,1.0,binary,top50,4,20,3,1.552500,52.91,1.760972,20.295146,6.783077,38.359025
both,non_symmetric,1.0,1.0,binary,top50,4,20,4,1.390000,54.94,1.834363,21.172264,5.032363,39.051820
both,non_symmetric,1.0,1.0,binary,top50,4,20,5,1.277500,57.33,1.886373,21.492055,3.638470,39.787875
both,non_symmetric,1.0,1.0,binary,top50,4,20,6,1.165500,60.77,1.904274,21.916515,2.661804,40.456697
both,non_symmetric,1.0,1.0,binary,top50,4,20,7,0.998000,66.54,1.956268,22.159176,1.926913,40.503234
both,non_symmetric,1.0,1.0,binary,top50,4,20,8,0.859000,72.62,1.965865,22.624799,1.392952,40.853576
both,non_symmetric,1.0,1.0,binary,top50,4,20,9,0.668500,76.78,2.007082,22.696099,1.076632,41.183679
both,non_symmetric,1.0,1.0,binary,top50,4,20,10,0.564000,79.34,2.014979,22.589828,0.942803,41.270776
both,non_symmetric,1.0,1.0,binary,top50,8,40,1,4.009500,50.01,1.507400,18.993726,11.568111,37.116684
both,non_symmetric,1.0,1.0,binary,top50,8,40,2,3.506000,52.94,1.639696,19.439799,8.966307,37.214568
both,non_symmetric,1.0,1.0,binary,top50,8,40,3,3.262000,54.35,1.735563,20.175593,6.706576,38.425106
both,non_symmetric,1.0,1.0,binary,top50,8,40,4,3.055500,56.35,1.810866,21.138187,4.975156,39.278186
