fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,best_fitness_mean,best_fitness_std,mean_accuracy_mean,mean_accuracy_std,best_accuracy_mean,best_accuracy_std,best_accuracy_min,best_accuracy_max,best_mse_chance_mean,best_mse_chance_std,best_mse_chance_min,best_mse_chance_max,mean_mse_chance_mean,mean_mse_chance_std,mean_mse_chance_min,mean_mse_chance_max,best_mse_utility_mean,best_mse_utility_std,best_mse_utility_min,best_mse_utility_max,mean_mse_utility_mean,mean_mse_utility_std,mean_mse_utility_min,mean_mse_utility_max
binary,top10,1,5,20,1.00,0.00,1,1,0.000000,0.000000,51.45,2.08,83.00,2.45,80.00,85.00,0.496711,0.064276,0.416465,0.580448,1.508490,0.029525,1.467805,1.544349,6.171206,1.169171,4.490148,8.050272,18.626932,0.569366,17.760733,19.481594
binary,top10,2,10,20,1.00,0.00,1,1,0.000000,0.000000,51.45,2.08,83.00,2.45,80.00,85.00,0.496711,0.064276,0.416465,0.580448,1.508490,0.029525,1.467805,1.544349,6.171206,1.169171,4.490148,8.050272,18.626932,0.569366,17.760733,19.481594
binary,top10,4,20,20,1.80,0.75,1,3,0.000000,0.000000,52.44,2.89,87.00,5.10,80.00,95.00,0.577700,0.052949,0.483804,0.636479,1.522962,0.027747,1.467805,1.540355,6.549813,0.764122,5.987458,8.050272,18.276942,0.213697,18.006587,18.624416
binary,top10,8,40,20,7.00,1.26,6,9,0.000000,0.000000,60.11,2.26,93.00,4.00,85.00,95.00,0.712309,0.082424,0.626505,0.836468,1.555100,0.115222,1.437118,1.747298,6.130673,2.073991,3.857465,9.940430,18.652383,1.274244,16.779727,20.160246
binary,top10,12,60,20,14.00,6.32,7,25,0.000000,0.000000,72.52,4.52,95.00,0.00,95.00,95.00,0.805259,0.128694,0.628974,1.018704,1.759386,0.192091,1.473495,2.041581,7.455890,1.029748,6.128770,8.786833,18.137371,2.874053,14.311819,23.134087
binary,top30,1,5,20,1.00,0.00,1,1,0.000000,0.000000,51.45,2.08,83.00,2.45,80.00,85.00,0.496711,0.064276,0.416465,0.580448,1.508490,0.029525,1.467805,1.544349,6.171206,1.169171,4.490148,8.050272,18.626932,0.569366,17.760733,19.481594
binary,top30,2,10,20,2.20,1.17,1,4,0.000000,0.000000,49.89,1.86,84.00,5.83,80.00,95.00,0.613740,0.125384,0.442281,0.742001,1.587373,0.091608,1.467805,1.730639,5.324338,1.455861,3.857262,8.050272,17.961178,0.777585,16.830343,18.898563
binary,top30,4,20,20,7.20,1.94,6,11,0.000000,0.000000,56.86,1.83,85.00,3.16,80.00,90.00,0.668707,0.141571,0.504813,0.842828,1.669886,0.188635,1.446524,1.987103,5.142510,1.256188,2.914598,6.506721,17.960825,2.309007,15.401116,22.199128
binary,top30,8,40,20,12.00,1.67,9,14,0.000000,0.000000,67.98,3.48,92.00,4.00,85.00,95.00,1.048120,0.356148,0.628714,1.682402,1.849165,0.347539,1.539797,2.473888,8.709301,2.330845,5.709673,12.815158,19.327514,3.526464,16.397022,26.253209
binary,top30,12,60,20,18.80,6.62,12,30,0.200000,0.400000,82.59,4.67,96.00,2.00,95.00,100.00,0.752622,0.181992,0.482563,0.987640,1.636949,0.173681,1.410525,1.912630,11.922831,3.572122,8.210671,16.494009,21.146785,2.794989,17.332146,26.056394
binary,top70,1,5,20,4.20,1.72,2,7,0.000000,0.000000,52.84,1.84,90.00,6.32,80.00,95.00,0.644837,0.129541,0.541888,0.876286,1.598708,0.076361,1.537268,1.742718,6.656322,0.954078,5.269584,8.239320,18.671162,0.303224,18.151381,19.015226
binary,top70,2,10,20,7.20,1.60,4,8,0.000000,0.000000,55.15,2.35,87.00,4.00,85.00,95.00,0.695992,0.111614,0.541229,0.884508,1.542097,0.161946,1.364212,1.839713,7.016975,0.882369,5.901757,8.475512,19.661502,1.422177,17.339178,21.433679
binary,top70,4,20,20,10.60,2.06,8,13,0.000000,0.000000,62.25,5.25,90.00,4.47,85.00,95.00,0.773783,0.173495,0.585684,1.074069,1.810215,0.256186,1.554754,2.274720,8.228544,2.990363,4.430222,12.016368,20.749078,3.480820,14.608568,25.454658
binary,top70,8,40,20,21.00,1.26,19,23,0.000000,0.000000,73.79,3.44,94.00,2.00,90.00,95.00,0.811990,0.092082,0.679772,0.948668,1.748324,0.085957,1.606045,1.847522,10.033233,5.109447,5.507186,19.714940,20.030085,5.647597,11.474042,26.961006
binary,top70,12,60,20,20.80,2.93,16,24,0.000000,0.000000,81.57,3.45,96.00,3.74,90.00,100.00,0.847395,0.323825,0.520202,1.454645,1.590362,0.394043,0.908597,2.003816,10.945838,2.442533,8.249637,14.535328,19.414227,2.404361,16.710380,22.792234
binary,top90,1,5,20,9.40,1.36,7,11,0.000000,0.000000,54.01,3.68,85.00,5.48,75.00,90.00,0.711372,0.211311,0.485099,1.092767,1.681942,0.160697,1.536581,1.993443,7.786739,1.279220,5.990936,9.324541,18.791521,1.672083,15.573936,20.339362
binary,top90,2,10,20,14.40,4.50,8,22,0.000000,0.000000,57.13,4.90,87.00,4.00,85.00,95.00,0.933967,0.202049,0.598257,1.225183,1.730625,0.223098,1.498460,2.082187,9.695618,3.177572,6.554255,13.555995,21.390325,2.451622,18.757565,25.607086
binary,top90,4,20,20,17.40,3.50,13,22,0.000000,0.000000,65.01,7.95,91.00,8.00,75.00,95.00,0.857934,0.196247,0.587750,1.134258,1.768513,0.262840,1.457210,2.130413,11.462972,4.304069,4.918650,16.112333,21.659126,4.192923,13.353771,24.370087
binary,top90,8,40,20,20.60,2.80,15,22,0.000000,0.000000,76.72,6.71,95.00,6.32,85.00,100.00,0.957644,0.185961,0.714603,1.247280,1.804472,0.357604,1.264735,2.281352,9.930828,1.689369,7.269548,12.113006,18.626884,2.044698,16.566075,22.468504
binary,top90,12,60,20,24.00,2.61,22,29,0.200000,0.400000,83.31,4.57,95.00,5.48,85.00,100.00,0.876670,0.211869,0.664059,1.281521,1.632020,0.209142,1.374017,1.916647,12.654465,3.122148,8.819613,16.217121,18.130280,2.618269,14.318064,21.921824
margin,top10,1,5,20,1.00,0.00,1,1,0.000000,0.000000,51.45,2.08,83.00,2.45,80.00,85.00,0.496711,0.064276,0.416465,0.580448,1.508490,0.029525,1.467805,1.544349,6.171206,1.169171,4.490148,8.050272,18.626932,0.569366,17.760733,19.481594
margin,top10,2,10,20,2.20,1.47,1,5,0.000000,0.000000,51.22,1.90,88.00,6.78,80.00,95.00,0.575488,0.116825,0.442281,0.777811,1.515144,0.040189,1.465003,1.557567,5.748307,1.469867,4.385281,8.050272,17.931554,0.748178,16.833754,18.898563
margin,top10,4,20,20,6.60,2.15,4,9,0.000000,0.000000,55.51,2.00,90.00,4.47,85.00,95.00,0.626697,0.119254,0.416299,0.731092,1.531068,0.188537,1.169624,1.689695,6.544679,2.155740,4.312826,10.049263,19.676744,1.561856,17.103512,21.424803
margin,top10,8,40,20,19.20,2.64,15,22,0.000000,0.000000,75.84,4.38,92.00,4.00,85.00,95.00,1.032227,0.241221,0.703002,1.345322,1.815293,0.302272,1.308785,2.154151,12.692259,4.242667,6.672618,19.517795,21.658111,4.115323,16.671511,26.630092
margin,top10,12,60,20,27.00,7.67,18,37,0.000000,0.000000,86.08,4.42,97.00,2.45,95.00,100.00,0.920477,0.265694,0.442865,1.209456,1.742423,0.174735,1.492834,1.945863,9.472896,2.713406,7.253995,14.675498,19.042246,4.035491,13.035593,24.693511
margin,top30,1,5,20,1.80,0.40,1,2,0.000000,0.000000,50.30,2.55,84.00,3.74,80.00,90.00,0.563340,0.071521,0.432183,0.645435,1.485959,0.035106,1.446322,1.539729,5.970719,1.043720,4.635003,7.729398,18.354931,0.222197,18.051420,18.723762
margin,top30,2,10,20,5.60,2.06,2,8,0.000000,0.000000,54.77,2.90,88.00,6.00,80.00,95.00,0.665387,0.091306,0.546324,0.806267,1.709458,0.111067,1.529006,1.857551,6.251857,1.380832,4.989977,8.917537,18.370803,1.513034,16.338468,20.227871
margin,top30,4,20,20,11.20,2.48,7,14,0.000000,0.000000,62.74,6.58,90.00,4.47,85.00,95.00,0.714710,0.168813,0.545962,1.025082,1.741444,0.199200,1.415951,1.941190,6.613317,1.234896,4.743594,7.911406,18.571974,3.077833,14.016299,23.210918
margin,top30,8,40,20,24.40,2.94,19,27,0.000000,0.000000,76.20,6.52,91.00,5.83,85.00,100.00,0.829233,0.171302,0.671836,1.113556,1.798735,0.046012,1.742004,1.873721,13.140920,3.860725,7.137689,18.782463,21.429231,3.136207,15.776711,25.074587
margin,top30,12,60,20,29.60,5.57,22,36,0.329084,0.658168,84.72,7.14,97.00,2.45,95.00,100.00,0.902360,0.093319,0.780586,1.038240,1.625579,0.276337,1.138659,1.928995,14.803933,2.165678,11.113008,17.620123,22.459785,1.439057,19.833822,23.915337
