mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,fitness_mean,fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,1.60,0.49,1,2,0.396000,0.082168,91.00,3.74,85.00,95.00,0.511294,0.043951,5.250577,0.592735,5.664522,1.088533,44.387428,0.039533
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,4.20,1.33,2,6,0.559500,0.042379,94.00,4.90,85.00,100.00,0.621054,0.055275,5.591607,0.958436,1.953811,1.827863,44.428825,0.030745
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,9.20,0.75,8,10,0.564000,0.086148,100.00,0.00,100.00,100.00,0.678229,0.031228,8.865237,1.380871,0.001051,0.001198,44.444444,0.000000
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,11.40,0.49,11,12,0.590000,0.083442,100.00,0.00,100.00,100.00,0.728902,0.095630,9.314669,1.244650,0.000000,0.000000,44.444444,0.000000
both,non_symmetric,1.0,1.0,margin,top50,1,5,20,4.80,1.72,3,8,1.018347,0.107301,94.00,4.90,85.00,100.00,0.581742,0.048279,7.140252,1.102716,1.334908,0.889312,44.444341,0.000176
both,non_symmetric,1.0,1.0,margin,top50,2,10,20,17.60,6.80,4,21,1.569723,0.191237,97.00,6.00,85.00,100.00,0.732657,0.041800,10.033026,1.668617,0.360202,0.720403,44.444416,0.000057
both,non_symmetric,1.0,1.0,margin,top50,4,20,20,21.00,0.00,21,21,3.228008,0.215622,100.00,0.00,100.00,100.00,0.730187,0.091650,11.049603,0.469750,0.000000,0.000000,44.444444,0.000000
both,non_symmetric,1.0,1.0,margin,top50,8,40,20,21.40,0.80,21,23,7.235350,0.384491,100.00,0.00,100.00,100.00,0.801037,0.131335,9.414268,1.158898,0.000000,0.000000,44.444444,0.000000
both,non_symmetric,1.0,1.0,softmax,top50,1,5,20,5.60,0.49,5,6,0.634767,0.053668,96.00,3.74,90.00,100.00,0.662069,0.067828,6.806917,1.507405,0.466440,0.298777,44.444444,0.000000
both,non_symmetric,1.0,1.0,softmax,top50,2,10,20,11.00,3.10,5,14,1.102077,0.127382,99.00,2.00,95.00,100.00,0.768181,0.070668,8.606157,0.276702,0.058658,0.117316,44.444444,0.000002
both,non_symmetric,1.0,1.0,softmax,top50,4,20,20,15.00,1.90,13,18,2.370289,0.106882,100.00,0.00,100.00,100.00,0.730759,0.064831,9.292273,1.564469,0.000000,0.000000,44.444444,0.000000
both,non_symmetric,1.0,1.0,softmax,top50,8,40,20,16.80,1.72,14,19,5.009483,0.409614,100.00,0.00,100.00,100.00,0.759197,0.098432,9.712890,1.133053,0.000000,0.000000,44.444444,0.000000
both,non_symmetric,1.0,1.0,regret,top50,1,5,20,1.60,0.49,1,2,0.926320,0.287606,93.00,5.10,85.00,100.00,0.463798,0.062469,4.726666,0.587371,5.607405,1.117582,44.383280,0.037913
both,non_symmetric,1.0,1.0,regret,top50,2,10,20,4.00,1.26,2,6,1.110699,0.170510,94.00,3.74,90.00,100.00,0.625230,0.064564,5.704670,1.223557,1.838993,1.650676,44.438212,0.012394
both,non_symmetric,1.0,1.0,regret,top50,4,20,20,6.60,0.49,6,7,1.720903,0.240141,99.00,2.00,95.00,100.00,0.640418,0.098415,6.798865,0.518688,0.125631,0.108015,44.444444,0.000000
both,non_symmetric,1.0,1.0,regret,top50,8,40,20,8.80,0.40,8,9,2.974337,0.584488,100.00,0.00,100.00,100.00,0.737615,0.084694,8.441927,0.717083,0.007538,0.013417,44.444444,0.000000
both,non_symmetric,1.0,1.0,entropy,top50,1,5,20,5.20,0.40,5,6,0.735904,0.124434,96.00,3.74,90.00,100.00,0.687459,0.059373,6.402991,1.229071,0.594134,0.297700,44.444441,0.000007
both,non_symmetric,1.0,1.0,entropy,top50,2,10,20,11.60,2.87,6,14,1.185847,0.122080,98.00,4.00,90.00,100.00,0.718461,0.104889,9.498202,1.657442,0.070350,0.140700,44.444444,0.000000
both,non_symmetric,1.0,1.0,entropy,top50,4,20,20,15.80,0.75,15,17,2.654924,0.194854,100.00,0.00,100.00,100.00,0.786047,0.135255,9.916040,1.183453,0.000000,0.000000,44.444444,0.000000
both,non_symmetric,1.0,1.0,entropy,top50,8,40,20,17.00,1.79,15,20,5.689236,0.380675,100.00,0.00,100.00,100.00,0.778662,0.186286,8.969823,1.003584,0.000000,0.000000,44.444444,0.000000
both,symmetric,1.0,1.0,binary,top50,1,5,20,1.60,0.49,1,2,0.420500,0.063075,91.00,3.74,85.00,95.00,0.511723,0.055383,5.370361,0.749756,5.815314,0.976037,44.383859,0.036953
both,symmetric,1.0,1.0,binary,top50,2,10,20,4.80,1.94,2,8,0.616500,0.089059,93.00,6.78,85.00,100.00,0.659593,0.054689,5.821319,1.430199,1.492806,1.450869,44.421884,0.045050
both,symmetric,1.0,1.0,binary,top50,4,20,20,8.80,0.98,7,10,0.637000,0.103904,100.00,0.00,100.00,100.00,0.726250,0.036747,7.678637,0.909007,0.003688,0.006578,44.444444,0.000000
both,symmetric,1.0,1.0,binary,top50,8,40,20,11.80,0.75,11,13,0.608500,0.069112,100.00,0.00,100.00,100.00,0.739573,0.100100,9.716706,2.593830,0.000000,0.000000,44.444444,0.000000
both,symmetric,1.0,1.0,margin,top50,1,5,20,4.40,1.36,3,6,1.064018,0.182493,97.00,2.45,95.00,100.00,0.661692,0.039151,6.361778,1.040868,1.526180,1.198203,44.434993,0.011662
both,symmetric,1.0,1.0,margin,top50,2,10,20,17.80,6.40,5,21,1.534200,0.102814,99.00,2.00,95.00,100.00,0.708199,0.142620,8.762001,1.092363,0.141718,0.283436,44.444444,0.000000
both,symmetric,1.0,1.0,margin,top50,4,20,20,21.00,0.00,21,21,3.270805,0.275528,100.00,0.00,100.00,100.00,0.768373,0.140556,11.536131,0.957895,0.000000,0.000000,44.444444,0.000000
both,symmetric,1.0,1.0,margin,top50,8,40,20,21.40,0.49,21,22,7.165374,0.226660,100.00,0.00,100.00,100.00,0.840790,0.112521,10.088103,1.354516,0.000000,0.000000,44.444444,0.000000
both,symmetric,1.0,1.0,softmax,top50,1,5,20,5.80,0.75,5,7,0.722061,0.137520,92.00,4.00,85.00,95.00,0.615088,0.110320,7.544787,2.097976,0.549854,0.347819,44.444444,0.000001
both,symmetric,1.0,1.0,softmax,top50,2,10,20,12.60,1.20,12,15,1.123018,0.250859,100.00,0.00,100.00,100.00,0.723636,0.071676,9.138254,0.961249,0.000000,0.000000,44.444444,0.000000
both,symmetric,1.0,1.0,softmax,top50,4,20,20,15.60,2.06,13,18,2.282755,0.175321,100.00,0.00,100.00,100.00,0.776913,0.055443,11.030552,0.197899,0.000000,0.000000,44.444444,0.000000
both,symmetric,1.0,1.0,softmax,top50,8,40,20,16.40,2.58,13,20,5.617736,0.403046,100.00,0.00,100.00,100.00,0.727672,0.125732,9.400569,1.170207,0.000000,0.000000,44.444444,0.000000
both,symmetric,1.0,1.0,regret,top50,1,5,20,1.60,0.49,1,2,0.982344,0.252628,94.00,2.00,90.00,95.00,0.555625,0.078048,5.260378,0.675765,5.579567,1.143785,44.340025,0.054387
both,symmetric,1.0,1.0,regret,top50,2,10,20,4.00,1.10,2,5,1.283173,0.415149,95.00,0.00,95.00,95.00,0.589503,0.035820,5.824564,0.925786,1.557096,0.979354,44.440618,0.007124
both,symmetric,1.0,1.0,regret,top50,4,20,20,7.00,0.89,6,8,1.641480,0.341309,100.00,0.00,100.00,100.00,0.694321,0.071527,7.916210,0.906500,0.167433,0.191360,44.444444,0.000000
both,symmetric,1.0,1.0,regret,top50,8,40,20,9.00,0.00,9,9,3.435760,0.544359,100.00,0.00,100.00,100.00,0.756712,0.077572,7.850075,0.755013,0.000603,0.001041,44.444444,0.000000
both,symmetric,1.0,1.0,entropy,top50,1,5,20,5.60,0.80,5,7,0.724243,0.101429,92.00,4.00,85.00,95.00,0.628826,0.104301,7.056237,1.955654,0.624812,0.333712,44.444444,0.000001
both,symmetric,1.0,1.0,entropy,top50,2,10,20,11.60,2.33,7,13,1.097690,0.189176,100.00,0.00,100.00,100.00,0.749499,0.115564,8.589394,1.614117,0.008958,0.017917,44.444444,0.000000
both,symmetric,1.0,1.0,entropy,top50,4,20,20,15.00,1.10,14,17,2.466434,0.387308,100.00,0.00,100.00,100.00,0.702276,0.115818,9.321884,1.365489,0.000000,0.000000,44.444444,0.000000
both,symmetric,1.0,1.0,entropy,top50,8,40,20,15.00,2.90,12,19,6.217524,0.167481,100.00,0.00,100.00,100.00,0.709847,0.113759,9.171203,1.500979,0.000000,0.000000,44.444444,0.000000
utility_only,non_symmetric,1.0,1.0,binary,top50,1,5,20,1.00,0.00,1,1,0.109000,0.042208,100.00,0.00,100.00,100.00,0.000000,0.000000,4.610031,1.113505,18.825307,0.000000,44.398644,0.029667
utility_only,non_symmetric,1.0,1.0,binary,top50,2,10,20,1.00,0.00,1,1,0.239000,0.044232,100.00,0.00,100.00,100.00,0.000000,0.000000,4.610031,1.113505,18.825307,0.000000,44.398644,0.029667
utility_only,non_symmetric,1.0,1.0,binary,top50,4,20,20,1.40,0.49,1,2,0.474500,0.181620,100.00,0.00,100.00,100.00,0.000000,0.000000,4.859945,0.353004,18.825307,0.000000,44.396982,0.027243
utility_only,non_symmetric,1.0,1.0,binary,top50,8,40,20,1.40,0.49,1,2,0.878000,0.344871,100.00,0.00,100.00,100.00,0.000000,0.000000,4.922931,0.367138,18.825307,0.000000,44.391519,0.037178
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,20,40.00,18.17,13,60,0.156708,0.190784,98.00,2.45,95.00,100.00,0.000000,0.000000,11.935629,3.446954,18.825307,0.000000,44.444440,0.000010
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,20,42.80,14.50,25,60,0.339253,0.267118,98.00,2.45,95.00,100.00,0.000000,0.000000,12.567276,1.183174,18.825307,0.000000,44.444444,0.000000
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,20,48.80,13.29,23,60,1.066482,0.595689,98.00,2.45,95.00,100.00,0.000000,0.000000,13.789449,2.427986,18.825307,0.000000,44.444271,0.000346
utility_only,non_symmetric,1.0,1.0,margin,top50,8,40,20,52.40,11.84,29,60,2.002662,1.176865,97.00,2.45,95.00,100.00,0.000000,0.000000,13.247651,3.480878,18.825307,0.000000,44.412391,0.064107
utility_only,non_symmetric,1.0,1.0,softmax,top50,1,5,20,15.60,3.26,11,20,0.353466,0.061562,96.00,2.00,95.00,100.00,0.000000,0.000000,11.890229,1.299854,18.825307,0.000000,44.444442,0.000003
