mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
both,non_symmetric,1.0,1.0,binary,top50,1,5,1,0.518000,50.28,1.505195,18.791020,11.551228,36.908149
both,non_symmetric,1.0,1.0,binary,top50,1,5,2,0.376000,50.90,1.600219,19.039872,9.392496,37.446322
both,non_symmetric,1.0,1.0,binary,top50,2,10,1,0.996000,50.28,1.505195,18.791020,11.551228,36.908149
both,non_symmetric,1.0,1.0,binary,top50,2,10,2,0.853000,50.96,1.619328,19.217510,9.499674,37.277671
both,non_symmetric,1.0,1.0,binary,top50,2,10,3,0.741000,52.48,1.689549,20.073360,7.753304,37.758440
both,non_symmetric,1.0,1.0,binary,top50,2,10,4,0.686000,52.38,1.737680,20.150297,6.645165,38.307730
both,non_symmetric,1.0,1.0,binary,top50,2,10,5,0.632000,53.86,1.765494,20.372055,6.160735,38.555126
both,non_symmetric,1.0,1.0,binary,top50,4,20,1,2.005000,50.28,1.505195,18.791020,11.551228,36.908149
both,non_symmetric,1.0,1.0,binary,top50,4,20,2,1.693000,52.00,1.620163,19.701522,8.801597,37.301169
both,non_symmetric,1.0,1.0,binary,top50,4,20,3,1.530000,53.08,1.710764,20.709534,6.716509,37.673766
both,non_symmetric,1.0,1.0,binary,top50,4,20,4,1.415000,55.29,1.788651,21.660751,4.951987,38.373587
both,non_symmetric,1.0,1.0,binary,top50,4,20,5,1.299000,57.98,1.820260,22.421430,3.636859,39.131547
both,non_symmetric,1.0,1.0,binary,top50,4,20,6,1.104000,62.00,1.890701,22.631545,2.594691,39.283376
both,non_symmetric,1.0,1.0,binary,top50,4,20,7,0.934000,66.76,1.900310,22.956375,1.886060,39.624833
both,non_symmetric,1.0,1.0,binary,top50,4,20,8,0.682000,71.97,1.922658,22.873601,1.426303,39.845047
both,non_symmetric,1.0,1.0,binary,top50,4,20,9,0.635000,72.97,1.935582,22.707953,1.357512,39.802294
both,non_symmetric,1.0,1.0,binary,top50,8,40,1,4.023333,49.93,1.488319,18.953889,11.578105,36.915325
both,non_symmetric,1.0,1.0,binary,top50,8,40,2,3.578333,52.86,1.673233,20.126404,8.927444,37.394478
both,non_symmetric,1.0,1.0,binary,top50,8,40,3,3.353333,54.92,1.768955,20.817539,6.625222,38.229407
both,non_symmetric,1.0,1.0,binary,top50,8,40,4,3.155000,56.63,1.801162,21.583805,4.851944,38.883032
both,non_symmetric,1.0,1.0,binary,top50,8,40,5,2.886667,60.43,1.799702,21.423464,3.575578,39.280531
both,non_symmetric,1.0,1.0,binary,top50,8,40,6,2.601667,65.43,1.903301,21.724356,2.625699,39.890374
both,non_symmetric,1.0,1.0,binary,top50,8,40,7,2.345000,70.79,1.933544,21.520053,1.893421,40.471405
both,non_symmetric,1.0,1.0,binary,top50,8,40,8,1.851667,76.67,1.927890,22.362724,1.340870,40.813390
both,non_symmetric,1.0,1.0,binary,top50,8,40,9,1.456667,81.72,1.961035,22.859436,0.967339,40.993385
both,non_symmetric,1.0,1.0,binary,top50,8,40,10,1.150000,85.90,2.001830,23.034706,0.684878,41.193127
both,non_symmetric,1.0,1.0,binary,top50,8,40,11,0.905000,87.71,1.985417,22.714571,0.581511,41.463156
both,non_symmetric,1.0,1.0,binary,top50,8,40,12,0.801667,88.63,1.988789,22.317032,0.537510,41.387417
both,non_symmetric,1.0,1.0,margin,top50,1,5,1,1.945094,50.28,1.505195,18.791020,11.551228,36.908149
both,non_symmetric,1.0,1.0,margin,top50,1,5,2,1.286221,51.38,1.613833,19.349018,8.956211,37.236302
both,non_symmetric,1.0,1.0,margin,top50,1,5,3,0.931711,53.38,1.708765,20.226277,6.730146,37.699105
both,non_symmetric,1.0,1.0,margin,top50,1,5,4,0.905226,52.94,1.777988,20.440111,5.693118,38.310162
both,non_symmetric,1.0,1.0,margin,top50,1,5,5,0.817151,52.98,1.796045,20.537555,5.388131,38.718511
both,non_symmetric,1.0,1.0,margin,top50,2,10,1,3.595544,49.94,1.494357,18.733977,11.573980,36.964777
both,non_symmetric,1.0,1.0,margin,top50,2,10,2,2.501383,51.34,1.621082,20.312306,8.906906,37.428112
both,non_symmetric,1.0,1.0,margin,top50,2,10,3,2.704266,53.70,1.684448,20.933995,6.689698,38.477460
both,non_symmetric,1.0,1.0,margin,top50,2,10,4,1.961994,54.46,1.788878,22.242797,5.041160,39.338829
both,non_symmetric,1.0,1.0,margin,top50,2,10,5,1.897533,56.60,1.830311,23.121934,4.320627,39.335058
both,non_symmetric,1.0,1.0,margin,top50,2,10,6,1.577585,59.16,1.821626,23.111619,3.853272,39.483453
both,non_symmetric,1.0,1.0,margin,top50,2,10,7,1.675813,60.36,1.808766,23.443857,3.480355,39.889783
both,non_symmetric,1.0,1.0,margin,top50,2,10,8,1.463933,64.40,1.846000,23.781739,3.217279,39.896636
both,non_symmetric,1.0,1.0,softmax,top50,1,5,1,1.560623,50.28,1.505195,18.791020,11.551228,36.908149
both,non_symmetric,1.0,1.0,softmax,top50,1,5,2,0.831199,51.40,1.597386,19.316524,8.951248,37.311881
both,non_symmetric,1.0,1.0,softmax,top50,1,5,3,0.808554,53.35,1.713993,20.485904,6.784628,38.316277
both,non_symmetric,1.0,1.0,softmax,top50,1,5,4,0.729082,53.73,1.800667,21.262807,5.128967,39.360739
both,non_symmetric,1.0,1.0,softmax,top50,1,5,5,0.793907,55.71,1.886093,21.653584,3.951038,39.873180
both,non_symmetric,1.0,1.0,softmax,top50,1,5,6,0.707648,57.35,1.908861,21.583592,3.538112,40.105676
both,non_symmetric,1.0,1.0,softmax,top50,2,10,1,2.876836,49.19,1.526253,18.730431,11.487545,37.029988
both,non_symmetric,1.0,1.0,softmax,top50,2,10,2,2.175975,51.36,1.663374,19.812962,8.925353,37.759022
both,non_symmetric,1.0,1.0,softmax,top50,2,10,3,1.511408,53.26,1.796222,20.729312,6.549221,38.073495
both,non_symmetric,1.0,1.0,softmax,top50,2,10,4,2.005172,52.46,1.841291,21.531512,4.823323,39.407450
both,non_symmetric,1.0,1.0,softmax,top50,2,10,5,1.556957,55.23,1.937030,21.820642,3.529591,39.800815
both,non_symmetric,1.0,1.0,softmax,top50,2,10,6,1.550333,58.33,1.926936,22.140608,2.523449,39.807691
both,non_symmetric,1.0,1.0,softmax,top50,2,10,7,1.375578,60.90,1.981571,22.267345,2.211099,40.039992
both,non_symmetric,1.0,1.0,softmax,top50,2,10,8,1.383984,63.59,1.961338,22.289096,1.917733,40.640739
both,non_symmetric,1.0,1.0,softmax,top50,2,10,9,1.246845,65.91,1.974419,22.474144,1.780164,40.813979
both,non_symmetric,1.0,1.0,softmax,top50,2,10,10,1.290971,68.60,1.982188,22.420017,1.667806,41.249788
both,non_symmetric,1.0,1.0,softmax,top50,2,10,11,1.219511,69.44,1.963070,22.249584,1.565812,41.085267
both,non_symmetric,1.0,1.0,softmax,top50,2,10,12,1.188167,70.61,1.963612,22.566175,1.550284,40.959142
both,non_symmetric,1.0,1.0,softmax,top50,4,20,1,6.400055,50.98,1.484169,18.820477,11.596390,36.673708
both,non_symmetric,1.0,1.0,softmax,top50,4,20,2,4.338145,53.30,1.619811,20.504789,9.158470,36.921803
both,non_symmetric,1.0,1.0,softmax,top50,4,20,3,4.300142,53.98,1.625054,21.552108,7.031373,37.127802
both,non_symmetric,1.0,1.0,softmax,top50,4,20,4,4.111514,57.33,1.759802,22.231489,5.090250,38.322937
both,non_symmetric,1.0,1.0,softmax,top50,4,20,5,3.566237,60.38,1.774858,23.601248,3.776928,38.736047
both,non_symmetric,1.0,1.0,softmax,top50,4,20,6,2.977896,65.40,1.825053,23.322595,2.740036,39.746333
both,non_symmetric,1.0,1.0,softmax,top50,4,20,7,3.185269,69.90,1.921457,23.223831,1.936174,40.022927
both,non_symmetric,1.0,1.0,softmax,top50,4,20,8,2.285398,73.78,1.873360,23.748334,1.547033,40.352734
both,non_symmetric,1.0,1.0,softmax,top50,4,20,9,2.866097,77.60,1.784916,23.827270,1.129689,41.234301
both,non_symmetric,1.0,1.0,softmax,top50,4,20,10,2.687032,82.58,1.827294,23.835915,0.703620,41.777575
both,non_symmetric,1.0,1.0,softmax,top50,4,20,11,3.179307,82.33,1.876677,23.837746,0.612994,41.303305
both,non_symmetric,1.0,1.0,softmax,top50,4,20,12,2.125070,87.20,1.863635,25.040537,0.422705,41.480776
both,non_symmetric,1.0,1.0,softmax,top50,4,20,13,2.734511,88.53,1.904263,24.064190,0.314476,41.810876
both,non_symmetric,1.0,1.0,softmax,top50,8,40,1,11.802616,49.48,1.547963,18.813384,11.423521,36.804129
both,non_symmetric,1.0,1.0,softmax,top50,8,40,2,9.764837,54.92,1.658928,19.684616,9.103102,37.197552
both,non_symmetric,1.0,1.0,softmax,top50,8,40,3,10.158744,52.98,1.721159,20.720747,6.826353,37.535648
both,non_symmetric,1.0,1.0,softmax,top50,8,40,4,9.748980,56.12,1.783008,21.662209,4.946142,39.014350
both,non_symmetric,1.0,1.0,softmax,top50,8,40,5,8.613387,60.60,1.848920,22.683969,3.720206,39.372594
both,non_symmetric,1.0,1.0,softmax,top50,8,40,6,8.062193,65.78,1.932022,22.930071,2.601441,38.943303
both,non_symmetric,1.0,1.0,softmax,top50,8,40,7,7.924329,70.58,1.966137,23.143822,1.927869,39.381748
both,non_symmetric,1.0,1.0,softmax,top50,8,40,8,7.101457,77.20,2.001507,23.621452,1.456242,40.426071
both,non_symmetric,1.0,1.0,softmax,top50,8,40,9,6.868862,81.50,2.040944,23.143726,0.951382,40.440470
both,non_symmetric,1.0,1.0,softmax,top50,8,40,10,6.339308,84.35,2.068607,23.265436,0.716748,40.199560
both,non_symmetric,1.0,1.0,softmax,top50,8,40,11,6.805469,87.10,2.044518,23.878152,0.615005,40.310598
both,non_symmetric,1.0,1.0,softmax,top50,8,40,12,6.035058,90.35,2.061883,24.325654,0.399604,40.342863
both,non_symmetric,1.0,1.0,softmax,top50,8,40,13,6.290999,91.70,2.049943,23.786052,0.323091,40.667621
both,non_symmetric,1.0,1.0,regret,top50,1,5,1,1.292826,50.28,1.505195,18.791020,11.551228,36.908149
both,non_symmetric,1.0,1.0,regret,top50,1,5,2,0.725642,51.22,1.588584,18.888413,9.447545,37.282930
both,non_symmetric,1.0,1.0,regret,top50,2,10,1,2.469876,50.28,1.505195,18.791020,11.551228,36.908149
both,non_symmetric,1.0,1.0,regret,top50,2,10,2,1.761391,50.88,1.613845,19.293819,9.450550,37.140959
both,non_symmetric,1.0,1.0,regret,top50,2,10,3,1.422477,52.48,1.666069,19.780517,7.588324,37.855059
both,non_symmetric,1.0,1.0,regret,top50,2,10,4,1.371019,54.40,1.712935,20.190067,6.547160,38.404454
both,non_symmetric,1.0,1.0,regret,top50,2,10,5,1.297702,54.91,1.717583,20.293629,6.272297,38.691918
both,non_symmetric,1.0,1.0,regret,top50,4,20,1,5.010299,50.28,1.505195,18.791020,11.551228,36.908149
both,non_symmetric,1.0,1.0,regret,top50,4,20,2,3.985117,52.26,1.612446,19.117739,8.917424,36.956329
both,non_symmetric,1.0,1.0,regret,top50,4,20,3,3.545798,53.61,1.685700,19.972195,6.743527,37.353883
both,non_symmetric,1.0,1.0,regret,top50,4,20,4,2.897880,55.30,1.803082,21.089343,4.827453,38.348065
both,non_symmetric,1.0,1.0,regret,top50,4,20,5,2.456378,58.64,1.845777,21.840389,3.564289,38.426694
both,non_symmetric,1.0,1.0,regret,top50,4,20,6,2.278140,64.88,1.897140,22.783820,2.592988,38.886310
both,non_symmetric,1.0,1.0,regret,top50,4,20,7,2.240779,67.78,1.937688,22.848335,2.122573,39.412183
both,non_symmetric,1.0,1.0,regret,top50,4,20,8,1.887554,70.08,1.953551,23.129540,1.895131,39.815764
both,non_symmetric,1.0,1.0,regret,top50,8,40,1,9.986728,50.28,1.505195,18.791020,11.551228,36.908149
both,non_symmetric,1.0,1.0,regret,top50,8,40,2,8.171885,52.50,1.642542,19.182321,9.017561,37.028838
both,non_symmetric,1.0,1.0,regret,top50,8,40,3,7.296212,55.19,1.762005,19.906603,6.634452,38.147603
both,non_symmetric,1.0,1.0,regret,top50,8,40,4,6.587016,57.13,1.796996,20.748179,4.846329,38.467143
both,non_symmetric,1.0,1.0,regret,top50,8,40,5,6.845982,60.31,1.852740,21.136195,3.648476,39.129383
both,non_symmetric,1.0,1.0,regret,top50,8,40,6,5.388146,66.66,1.891192,21.261496,2.560899,39.464988
both,non_symmetric,1.0,1.0,regret,top50,8,40,7,4.225523,73.62,1.904175,21.567177,1.844239,39.819211
both,non_symmetric,1.0,1.0,regret,top50,8,40,8,3.768632,79.25,1.875495,21.958113,1.394551,39.837598
both,non_symmetric,1.0,1.0,regret,top50,8,40,9,3.155215,80.93,1.886981,21.966029,1.243297,39.458171
both,non_symmetric,1.0,1.0,regret,top50,8,40,10,2.737185,83.03,1.908659,22.140340,1.136426,39.753209
both,non_symmetric,1.0,1.0,entropy,top50,1,5,1,1.599645,50.28,1.505195,18.791020,11.551228,36.908149
both,non_symmetric,1.0,1.0,entropy,top50,1,5,2,0.870260,51.40,1.597386,19.316524,8.951248,37.311881
both,non_symmetric,1.0,1.0,entropy,top50,1,5,3,0.840377,53.35,1.713993,20.485904,6.784628,38.316277
both,non_symmetric,1.0,1.0,entropy,top50,1,5,4,0.755462,53.73,1.800667,21.262807,5.128967,39.360739
both,non_symmetric,1.0,1.0,entropy,top50,1,5,5,0.817685,55.71,1.886093,21.653584,3.951038,39.873180
both,non_symmetric,1.0,1.0,entropy,top50,1,5,6,0.771073,56.62,1.895575,21.687559,3.731793,39.962782
both,non_symmetric,1.0,1.0,entropy,top50,2,10,1,3.055458,49.78,1.512225,18.760446,11.523827,36.911228
both,non_symmetric,1.0,1.0,entropy,top50,2,10,2,2.148129,51.43,1.640135,19.683741,9.046318,37.381388
both,non_symmetric,1.0,1.0,entropy,top50,2,10,3,2.158356,51.71,1.714441,20.377133,6.661689,38.254633
both,non_symmetric,1.0,1.0,entropy,top50,2,10,4,1.926170,53.17,1.809843,21.410326,4.869645,39.594101
both,non_symmetric,1.0,1.0,entropy,top50,2,10,5,1.839580,55.88,1.809653,22.222871,3.595482,40.311197
both,non_symmetric,1.0,1.0,entropy,top50,2,10,6,1.580102,58.26,1.823937,22.873992,2.698868,40.883646
both,non_symmetric,1.0,1.0,entropy,top50,2,10,7,1.430527,62.16,1.890908,23.573272,2.114957,41.454590
both,non_symmetric,1.0,1.0,entropy,top50,2,10,8,1.452453,66.23,1.947171,23.598232,1.816430,41.364623
both,non_symmetric,1.0,1.0,entropy,top50,2,10,9,1.243952,69.23,1.979640,23.831801,1.567322,41.419779
both,non_symmetric,1.0,1.0,entropy,top50,2,10,10,1.163210,72.39,1.978461,23.516059,1.392717,41.752720
both,non_symmetric,1.0,1.0,entropy,top50,2,10,11,1.143322,74.75,2.005798,23.304282,1.218969,41.928588
both,non_symmetric,1.0,1.0,entropy,top50,2,10,12,1.060503,77.23,1.954661,23.018743,1.161887,41.813523
both,non_symmetric,1.0,1.0,entropy,top50,2,10,13,0.990910,78.02,1.965520,23.094979,1.100107,41.941342
both,non_symmetric,1.0,1.0,entropy,top50,4,20,1,5.779367,48.90,1.504544,18.647477,11.551570,37.255847
both,non_symmetric,1.0,1.0,entropy,top50,4,20,2,4.473625,50.85,1.614841,19.564840,9.023065,37.421157
both,non_symmetric,1.0,1.0,entropy,top50,4,20,3,4.336442,54.70,1.723039,20.337363,6.731796,38.299967
both,non_symmetric,1.0,1.0,entropy,top50,4,20,4,4.117268,56.77,1.746861,21.087448,5.001016,39.081318
both,non_symmetric,1.0,1.0,entropy,top50,4,20,5,3.312528,60.02,1.874038,21.608722,3.504667,39.458455
both,non_symmetric,1.0,1.0,entropy,top50,4,20,6,4.074525,62.70,1.865330,22.880169,2.654566,40.483303
both,non_symmetric,1.0,1.0,entropy,top50,4,20,7,2.968514,68.08,1.899936,23.083173,1.670875,41.141666
both,non_symmetric,1.0,1.0,entropy,top50,4,20,8,3.054309,75.22,1.850167,23.650075,1.167126,41.789432
both,non_symmetric,1.0,1.0,entropy,top50,4,20,9,2.414086,80.88,1.910199,24.385900,0.790539,41.498944
both,non_symmetric,1.0,1.0,entropy,top50,4,20,10,2.263839,82.97,1.951107,24.894503,0.630843,41.812940
both,non_symmetric,1.0,1.0,entropy,top50,4,20,11,2.284850,85.22,2.017157,25.652947,0.503933,41.854883
both,non_symmetric,1.0,1.0,entropy,top50,4,20,12,2.736115,88.55,1.969538,24.497491,0.350468,42.672761
both,non_symmetric,1.0,1.0,entropy,top50,8,40,1,12.429739,51.02,1.494650,18.836881,11.592329,36.903530
both,non_symmetric,1.0,1.0,entropy,top50,8,40,2,10.905332,52.29,1.612595,19.226911,8.768239,36.993222
both,non_symmetric,1.0,1.0,entropy,top50,8,40,3,10.627705,52.85,1.690151,19.646475,6.648440,38.568054
both,non_symmetric,1.0,1.0,entropy,top50,8,40,4,10.372314,53.88,1.772280,19.606523,4.871254,39.064119
both,non_symmetric,1.0,1.0,entropy,top50,8,40,5,9.171390,59.60,1.854877,19.816079,3.521221,39.936259
both,non_symmetric,1.0,1.0,entropy,top50,8,40,6,9.673093,64.22,1.876496,20.254909,2.692275,40.317125
both,non_symmetric,1.0,1.0,entropy,top50,8,40,7,9.553766,71.15,1.960501,20.528563,1.900667,39.929889
both,non_symmetric,1.0,1.0,entropy,top50,8,40,8,8.482203,75.24,1.977440,20.885134,1.363045,40.406472
both,non_symmetric,1.0,1.0,entropy,top50,8,40,9,7.443258,80.59,1.997827,21.507602,0.959573,40.529845
both,non_symmetric,1.0,1.0,entropy,top50,8,40,10,7.855842,85.33,2.045159,22.619312,0.659413,41.041469
both,non_symmetric,1.0,1.0,entropy,top50,8,40,11,7.261925,87.59,2.080128,22.622565,0.493307,41.714580
both,non_symmetric,1.0,1.0,entropy,top50,8,40,12,6.809364,89.29,2.056161,22.791592,0.391533,42.348652
both,symmetric,1.0,1.0,binary,top50,1,5,1,0.518000,50.28,1.505195,18.791020,11.551228,36.908149
both,symmetric,1.0,1.0,binary,top50,1,5,2,0.392000,50.86,1.602470,19.120228,9.409086,37.038173
both,symmetric,1.0,1.0,binary,top50,2,10,1,0.925000,48.90,1.504544,18.647477,11.551570,37.255847
both,symmetric,1.0,1.0,regret,top50,1,5,1,1.292826,50.28,1.505195,18.791020,11.551228,36.908149
both,symmetric,1.0,1.0,regret,top50,1,5,2,0.903979,50.53,1.606424,19.093829,9.405086,36.870023
both,symmetric,1.0,1.0,regret,top50,2,10,1,1.983473,48.90,1.504544,18.647477,11.551570,37.255847
utility_only,non_symmetric,1.0,1.0,binary,top50,1,5,1,0.101000,82.25,0.000000,19.114517,18.825307,36.828651
utility_only,non_symmetric,1.0,1.0,binary,top50,2,10,1,0.227000,82.25,0.000000,19.114517,18.825307,36.828651
utility_only,non_symmetric,1.0,1.0,binary,top50,4,20,1,0.693000,82.25,0.000000,19.114517,18.825307,36.828651
utility_only,non_symmetric,1.0,1.0,binary,top50,4,20,2,0.442000,86.83,0.000000,18.906888,18.825307,36.882910
utility_only,non_symmetric,1.0,1.0,binary,top50,8,40,1,1.343000,82.25,0.000000,19.114517,18.825307,36.828651
utility_only,non_symmetric,1.0,1.0,binary,top50,8,40,2,0.877000,86.89,0.000000,18.909840,18.825307,36.720039
utility_only,non_symmetric,1.0,1.0,binary,top50,8,40,3,0.804000,87.22,0.000000,18.683946,18.825307,36.742822
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,1,0.627575,82.25,0.000000,19.114517,18.825307,36.828651
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,2,0.415051,89.45,0.000000,18.828912,18.825307,37.257261
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,3,0.323753,90.85,0.000000,19.110949,18.825307,37.052099
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,4,0.268209,91.10,0.000000,19.114910,18.825307,37.614858
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,5,0.236243,93.08,0.000000,19.941608,18.825307,38.432620
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,6,0.207200,93.83,0.000000,20.002928,18.825307,39.150021
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,7,0.187283,93.73,0.000000,21.034626,18.825307,39.709868
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,8,0.171422,93.78,0.000000,21.400119,18.825307,40.115803
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,9,0.162377,93.57,0.000000,21.907042,18.825307,40.535123
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,10,0.149845,93.90,0.000000,22.001520,18.825307,40.702429
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,11,0.148714,94.17,0.000000,22.130495,18.825307,40.568690
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,12,0.140368,94.40,0.000000,22.740232,18.825307,41.171278
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,13,0.130730,94.45,0.000000,22.110193,18.825307,41.009844
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,14,0.127860,94.48,0.000000,22.200427,18.825307,41.185504
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,15,0.123282,94.52,0.000000,22.576304,18.825307,41.504413
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,16,0.117676,94.84,0.000000,22.400772,18.825307,41.244141
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,17,0.119128,94.88,0.000000,22.167717,18.825307,41.268945
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,18,0.118697,94.73,0.000000,21.780578,18.825307,41.236674
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,19,0.114456,94.79,0.000000,21.428885,18.825307,41.071450
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,20,0.113800,94.84,0.000000,21.426607,18.825307,41.461748
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,21,0.108652,94.85,0.000000,21.674920,18.825307,41.578373
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,22,0.107475,94.88,0.000000,21.919475,18.825307,41.561341
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,23,0.106657,94.93,0.000000,22.362183,18.825307,41.625794
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,24,0.107506,94.95,0.000000,22.342176,18.825307,41.492446
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,25,0.106916,94.95,0.000000,22.220320,18.825307,41.284778
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,26,0.104852,94.88,0.000000,22.341107,18.825307,41.311975
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,27,0.104759,94.92,0.000000,22.455059,18.825307,41.392263
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,28,0.104000,94.90,0.000000,22.435125,18.825307,41.403398
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,29,0.104261,94.90,0.000000,22.486628,18.825307,41.460723
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,30,0.103992,94.90,0.000000,22.580422,18.825307,41.524762
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,31,0.104134,94.91,0.000000,22.461749,18.825307,41.492647
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,32,0.103991,94.90,0.000000,22.560472,18.825307,41.525173
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,33,0.103986,94.90,0.000000,22.582898,18.825307,41.518179
