mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,fitness_mean,fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,1.80,0.40,1,2,0.376000,0.057393,88.00,5.10,80.00,95.00,0.536844,0.068690,5.697574,0.892817,5.270050,0.957933,44.391778,0.043141
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,3.60,1.50,1,5,0.632000,0.153317,86.00,4.90,80.00,95.00,0.682798,0.130740,6.234516,0.845740,2.739644,2.267803,44.420142,0.046386
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,8.00,0.63,7,9,0.635000,0.066106,100.00,0.00,100.00,100.00,0.843218,0.041423,9.183461,0.981041,0.056011,0.096202,44.444444,0.000000
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,6.60,5.43,0,12,nan,nan,nan,nan,100.00,100.00,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,margin,top50,1,5,20,3.80,0.75,3,5,0.817151,0.084045,93.00,5.10,85.00,100.00,0.797201,0.083299,6.853089,1.346320,1.990328,0.810526,44.431223,0.024891
both,non_symmetric,1.0,1.0,margin,top50,2,10,20,2.40,3.20,0,8,nan,nan,nan,nan,95.00,100.00,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,margin,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,margin,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,softmax,top50,1,5,20,5.20,0.75,4,6,0.707648,0.110667,94.00,2.00,90.00,95.00,0.795190,0.163420,8.877008,1.490117,0.751396,0.516689,44.444442,0.000004
both,non_symmetric,1.0,1.0,softmax,top50,2,10,20,3.60,4.80,0,12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,softmax,top50,4,20,20,2.60,5.20,0,13,nan,nan,nan,nan,100.00,100.00,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,softmax,top50,8,40,20,2.60,5.20,0,13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,regret,top50,1,5,20,1.80,0.40,1,2,0.725642,0.163818,84.00,2.00,80.00,85.00,0.565553,0.090883,5.364376,0.710564,5.557586,0.811247,44.351797,0.063224
