net,optimizer,min_max_ut,rep,seed,size_gen,n_decision_rules,mode,stop_generation,best_fitness,best_accuracy,mean_accuracy,mse_chance,mse_utility,cpu_per_gen,cpu_total
bypass2,umda,True,0,42,50,2,both,7,0.0,90.0,57.1,0.6008631432195594,3.846172071030815,0.0513392857142857,0.359375
bypass2,umda,True,1,43,50,2,both,1,0.0,80.0,49.2,0.4836580780355964,9.970970834918624,0.046875,0.046875
bypass2,umda,True,2,44,50,2,both,7,0.0,90.0,50.6,0.5996030813279798,6.444976340496682,0.0535714285714285,0.375
bypass2,umda,True,3,45,50,2,both,5,0.0,85.0,54.8,0.6784792327187028,3.78524062920121,0.053125,0.265625
bypass2,umda,True,4,46,50,2,both,9,0.0,90.0,55.3,0.6033014483763064,5.302744497360871,0.0590277777777777,0.53125
bypass2,umda,True,5,47,50,2,both,7,0.0,90.0,60.6,0.7944563045338137,10.18931824614564,0.0491071428571428,0.34375
bypass2,umda,True,6,48,50,2,both,5,0.0,75.0,47.5,0.640301477481073,4.988567029381333,0.05,0.25
bypass2,umda,True,7,49,50,2,both,6,0.0,80.0,51.2,0.687032684286941,4.4663414463975695,0.0703125,0.421875
bypass2,umda,True,8,50,50,2,both,7,0.0,75.0,54.5,0.666634915915764,6.917064508516522,0.0758928571428571,0.53125
bypass2,umda,True,9,51,50,2,both,7,0.0,80.0,48.2,0.7359667883908794,4.69485108690499,0.078125,0.546875
bypass2,umda,False,0,42,50,2,both,12,0.0,90.0,65.5,0.6515375453228732,5.082474205925579,0.06640625,0.796875
bypass2,umda,False,1,43,50,2,both,1,0.0,80.0,49.7,0.6952001286948154,7.486583042814904,0.09375,0.09375
bypass2,umda,False,2,44,50,2,both,13,0.0,85.0,49.9,0.6406622292572886,17.61562391463472,0.079326923076923,1.03125
bypass2,umda,False,3,45,50,2,both,20,0.0,85.0,54.4,1.0633572402668132,8.392404506364635,0.0625,1.25
bypass2,umda,False,4,46,50,2,both,14,0.0,85.0,61.5,0.9262560051724968,24.41074789817408,0.0680803571428571,0.953125
