size_gen,optimizer,fitness_type,n,acc_mean,acc_std_rules,acc_std_init,acc_std_total
50,emna,binary,9,84.38142620232173,6.4404620931112015,3.58189862590646,6.535128404991057
50,emna,entropy,9,73.70480928689884,8.255859392174017,4.387143080419762,8.312983246296517
50,emna,margin,9,75.25704809286898,2.384605589102661,1.489272860787911,2.326991774915998
50,emna,regret,9,88.67993366500829,9.678579153841737,1.9043445388293403,8.557014344542756
50,emna,softmax,9,75.56882255389718,4.773212610418667,3.9406040881016438,5.284490838266003
50,umda,binary,9,76.18573797678275,2.0486816701370762,1.6816462573495317,2.089060591295786
50,umda,entropy,9,77.08126036484245,3.9026716644354704,2.8035335031463102,3.516557841835377
50,umda,margin,9,75.66832504145937,2.439478185179887,2.3109539719905565,2.2962018114361347
50,umda,regret,9,76.01658374792703,2.056314462137325,2.0819591600039016,2.222082369797951
50,umda,softmax,9,78.29519071310116,2.719287914035957,3.3560822112477364,3.0906135766048233
75,emna,binary,9,80.70315091210614,5.0148250671890615,4.717072997638183,6.1808106856754685
75,emna,regret,9,87.34549474847984,8.993093571153123,2.382265810295909,8.008352143932646
75,umda,binary,9,75.24820342730791,1.4966108102173425,1.3873026927955312,1.5228034999697377
75,umda,regret,9,75.47153123272528,1.6707005691888785,1.5147375831447583,1.8208169819973075
100,emna,binary,9,76.09286898839137,1.5854245709992771,1.665894521629624,1.6590976865562481
100,emna,regret,9,85.7860696517413,10.095455352119757,2.4589015242337697,9.008111861259701
100,umda,binary,9,75.71807628524047,1.111687197769242,1.589084536527584,1.6533589153830615
100,umda,regret,9,76.07462686567163,2.5296933717998833,2.3039638375990656,2.726516818767258
200,emna,binary,9,74.98009950248758,2.575349434495863,1.762479260301555,2.3675895046174453
200,emna,regret,9,81.85572139303483,8.850430345806382,2.0435377572227136,7.740536515442093
200,umda,binary,9,74.6285240464345,0.7411731205212574,0.7009611845656946,0.8818750037222102
200,umda,regret,9,74.80597014925372,1.3792352505580077,1.803466822997143,1.988711459208803
