fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
binary,top30,3,5,1,1.480000,46.78,4.704332,32.765287,1261.684594,617.219775
binary,top30,3,5,2,1.268000,49.51,4.678214,31.660873,1289.633365,597.541860
binary,top30,3,5,3,1.300000,50.05,4.710543,31.883439,1294.051543,596.774473
binary,top30,3,5,4,1.184000,50.41,4.723508,31.658457,1298.870563,595.111467
binary,top30,3,5,5,1.120000,53.16,4.749803,31.611734,1301.893800,594.939740
binary,top30,3,5,6,1.032000,55.48,4.758572,31.607339,1303.607883,594.135287
binary,top30,7,10,1,3.608000,46.78,4.704332,32.765287,1261.684594,617.219775
binary,top30,7,10,2,3.208000,52.10,4.654943,31.056505,1308.500763,584.991127
binary,top30,7,10,3,2.876000,56.49,4.605399,31.491340,1320.024381,580.866998
binary,top30,7,10,4,2.636000,58.16,4.613574,31.285751,1332.040688,578.460982
binary,top30,7,10,5,2.084000,63.69,4.623236,31.029571,1341.060608,575.935396
binary,top30,7,10,6,1.752000,66.26,4.615697,30.940878,1348.989325,573.735544
binary,top30,7,10,7,1.584000,67.89,4.561107,31.104643,1355.865908,573.524240
binary,top30,7,10,8,1.244000,69.62,4.553818,30.999265,1360.648999,572.935112
binary,top30,7,10,9,1.264000,69.40,4.553722,30.959044,1362.715850,572.061744
binary,top30,7,10,10,1.160000,69.83,4.540996,30.940021,1364.559029,572.887132
binary,top30,13,20,1,6.856000,46.78,4.704332,32.765287,1261.684594,617.219775
binary,top30,13,20,2,6.140000,52.08,4.651914,31.149041,1308.143809,584.938863
binary,top30,13,20,3,5.696000,56.01,4.593601,31.469273,1319.872008,580.960855
binary,top30,13,20,4,5.228000,58.13,4.621315,31.109230,1331.745412,577.682405
binary,top30,13,20,5,4.360000,62.19,4.583247,31.128765,1342.615779,575.445329
binary,top30,13,20,6,3.772000,65.72,4.632684,31.177525,1347.438248,573.699867
binary,top30,13,20,7,3.204000,68.59,4.640098,31.210796,1356.869271,572.467279
binary,top30,13,20,8,2.776000,69.67,4.624445,30.999209,1363.014019,569.478264
binary,top30,13,20,9,2.552000,70.70,4.670146,31.062096,1367.246820,567.951803
binary,top30,13,20,10,2.376000,70.92,4.613724,31.077586,1371.334307,568.701547
binary,top30,13,20,11,2.076000,72.29,4.645786,31.035768,1374.974228,566.165384
binary,top30,13,20,12,1.904000,73.39,4.641420,30.648321,1382.863001,566.611401
binary,top30,13,20,13,1.776000,74.38,4.714047,30.991730,1384.494946,567.070704
binary,top30,13,20,14,1.460000,75.63,4.696713,31.506782,1388.406993,568.028560
binary,top30,13,20,15,1.540000,74.80,4.711140,31.527423,1392.788300,566.052900
binary,top30,13,20,16,1.408000,75.25,4.720854,31.597800,1393.285025,566.724419
binary,top30,13,20,17,1.400000,75.31,4.714593,31.381233,1396.309185,564.825105
binary,top30,13,20,18,1.352000,75.18,4.730413,31.343038,1397.068292,564.739919
binary,top30,13,20,19,1.416000,74.94,4.700221,31.409280,1399.440703,565.156206
binary,top30,13,20,20,1.388000,74.99,4.714762,31.514169,1400.147065,565.736295
binary,top30,13,20,21,1.368000,75.60,4.713042,31.450226,1401.254028,564.714213
binary,top30,13,20,22,1.336000,75.39,4.738359,31.454868,1401.315393,564.607094
binary,top30,13,20,23,1.348000,75.36,4.746446,31.546278,1402.287197,564.069574
binary,top30,13,20,24,1.352000,75.60,4.732401,31.521307,1403.863543,565.910548
binary,top30,13,20,25,1.312000,75.63,4.718456,31.616189,1404.403043,565.451003
binary,top30,13,20,26,1.328000,75.77,4.718099,31.595754,1404.202522,565.811352
binary,top70,3,5,1,1.480000,46.78,4.704332,32.765287,1261.684594,617.219775
binary,top70,3,5,2,1.176000,51.76,4.679607,31.010488,1307.545716,584.969240
binary,top70,3,5,3,1.236000,52.19,4.670168,31.419983,1320.498387,581.547366
binary,top70,3,5,4,1.024000,53.67,4.672862,31.152302,1330.692771,578.127376
binary,top70,3,5,5,0.812000,59.90,4.646600,30.918877,1342.152467,577.523958
binary,top70,3,5,6,0.660000,62.99,4.672016,30.576694,1347.618882,574.866844
binary,top70,3,5,7,0.528000,65.59,4.675303,30.613341,1352.481191,574.223097
binary,top70,3,5,8,0.472000,66.27,4.629660,30.469155,1358.104887,572.444928
binary,top70,3,5,9,0.480000,65.87,4.634582,30.561445,1359.147340,571.670107
binary,top70,3,5,10,0.456000,66.64,4.610558,30.715122,1359.450503,572.535408
binary,top70,3,5,11,0.460000,65.88,4.666022,30.721323,1361.303562,572.252317
binary,top70,3,5,12,0.456000,66.51,4.668280,30.639945,1363.373397,571.115718
binary,top70,3,5,13,0.412000,67.38,4.688192,30.776636,1364.635847,572.475933
